seriesId,periodEnd,publishedAt,availableFrom,observedAt,value,unit,source,sourceKind,status
credit.long_balance,2002-12-13,2002-12-20T15:00:00+09:00,2002-12-20T15:00:00+09:00,2026-07-20T11:29:24Z,910432000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-12-20,2002-12-27T15:00:00+09:00,2002-12-27T15:00:00+09:00,2026-07-20T11:29:24Z,651485000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-12-20,2002-12-27T15:00:00+09:00,2002-12-27T15:00:00+09:00,2026-07-20T11:29:24Z,902367000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-12-27,2003-01-03T15:00:00+09:00,2003-01-03T15:00:00+09:00,2026-07-20T11:29:24Z,671546000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-12-27,2003-01-03T15:00:00+09:00,2003-01-03T15:00:00+09:00,2026-07-20T11:29:24Z,872937000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-01-10,2003-01-17T15:00:00+09:00,2003-01-17T15:00:00+09:00,2026-07-20T11:29:24Z,704470000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-01-10,2003-01-17T15:00:00+09:00,2003-01-17T15:00:00+09:00,2026-07-20T11:29:24Z,841827000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-01-17,2003-01-24T15:00:00+09:00,2003-01-24T15:00:00+09:00,2026-07-20T11:29:24Z,748254000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-01-17,2003-01-24T15:00:00+09:00,2003-01-24T15:00:00+09:00,2026-07-20T11:29:24Z,809997000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-01-24,2003-01-31T15:00:00+09:00,2003-01-31T15:00:00+09:00,2026-07-20T11:29:24Z,756998000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-01-24,2003-01-31T15:00:00+09:00,2003-01-31T15:00:00+09:00,2026-07-20T11:29:24Z,819630000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-01-31,2003-02-07T15:00:00+09:00,2003-02-07T15:00:00+09:00,2026-07-20T11:29:24Z,721092000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-01-31,2003-02-07T15:00:00+09:00,2003-02-07T15:00:00+09:00,2026-07-20T11:29:24Z,871774000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-02-07,2003-02-14T15:00:00+09:00,2003-02-14T15:00:00+09:00,2026-07-20T11:29:24Z,724830000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-02-07,2003-02-14T15:00:00+09:00,2003-02-14T15:00:00+09:00,2026-07-20T11:29:24Z,875375000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-02-14,2003-02-21T15:00:00+09:00,2003-02-21T15:00:00+09:00,2026-07-20T11:29:24Z,769654000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-02-14,2003-02-21T15:00:00+09:00,2003-02-21T15:00:00+09:00,2026-07-20T11:29:24Z,861349000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-02-21,2003-02-28T15:00:00+09:00,2003-02-28T15:00:00+09:00,2026-07-20T11:29:24Z,789029000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-02-21,2003-02-28T15:00:00+09:00,2003-02-28T15:00:00+09:00,2026-07-20T11:29:24Z,916861000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-02-28,2003-03-07T15:00:00+09:00,2003-03-07T15:00:00+09:00,2026-07-20T11:29:24Z,757711000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-02-28,2003-03-07T15:00:00+09:00,2003-03-07T15:00:00+09:00,2026-07-20T11:29:24Z,942266000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-03-07,2003-03-14T15:00:00+09:00,2003-03-14T15:00:00+09:00,2026-07-20T11:29:24Z,763120000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-03-07,2003-03-14T15:00:00+09:00,2003-03-14T15:00:00+09:00,2026-07-20T11:29:24Z,968037000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-03-14,2003-03-21T15:00:00+09:00,2003-03-21T15:00:00+09:00,2026-07-20T11:29:24Z,753289000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-03-14,2003-03-21T15:00:00+09:00,2003-03-21T15:00:00+09:00,2026-07-20T11:29:24Z,963357000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-03-20,2003-03-27T15:00:00+09:00,2003-03-27T15:00:00+09:00,2026-07-20T11:29:24Z,711095000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-03-20,2003-03-27T15:00:00+09:00,2003-03-27T15:00:00+09:00,2026-07-20T11:29:24Z,922940000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-03-28,2003-04-04T15:00:00+09:00,2003-04-04T15:00:00+09:00,2026-07-20T11:29:24Z,686990000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2003-03-28,2003-04-04T15:00:00+09:00,2003-04-04T15:00:00+09:00,2026-07-20T11:29:24Z,884683000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2003-04-04,2003-04-11T15:00:00+09:00,2003-04-11T15:00:00+09:00,2026-07-20T11:29:24Z,744824000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
